year,Developer,Online Developer,Publisher,Mobile/Handheld,Organization,Multiple Category,Total,Count
1960,2,0,0,0,0,1,3,3
1961,2,0,0,0,0,1,3,6
1962,0,0,0,0,0,0,0,6
1963,0,0,0,0,0,0,0,6
1964,0,0,0,0,0,0,0,6
1965,0,0,0,0,0,0,0,6
1966,0,0,0,0,0,0,0,6
1967,0,0,0,0,0,0,0,6
1968,0,0,0,0,0,0,0,6
1969,2,0,0,0,0,2,4,10
1970,0,0,0,0,0,0,0,10
1971,0,0,0,0,0,0,0,10
1972,0,0,0,0,0,0,0,10
1973,0,0,0,0,0,0,0,10
1974,1,0,0,0,0,0,1,11
1975,3,0,0,0,0,0,3,14
1977,1,0,0,0,0,0,1,15
1978,1,0,0,0,0,0,1,16
1979,2,0,1,0,0,0,3,19
1980,1,0,1,0,0,0,2,21
1981,2,0,1,0,0,0,3,24
1982,1,0,2,0,0,0,3,27
1983,5,0,2,0,0,0,7,34
1984,4,0,2,0,0,0,6,40
1985,7,0,1,0,0,0,8,48
1986,6,0,1,0,0,0,7,55
1987,6,0,3,0,0,0,9,64
1988,12,1,2,0,0,0,15,79
1989,11,0,0,0,0,0,11,90
1990,7,0,1,0,0,0,8,98
1991,21,0,2,0,0,0,23,121
1992,15,1,3,0,0,0,19,140
1993,22,1,2,0,1,0,26,166
1994,18,2,1,1,0,0,22,188
1995,30,2,6,1,1,0,40,228
1996,36,2,6,0,0,0,44,272
1997,31,3,4,3,0,0,41,313
1998,34,3,2,2,0,0,41,354
1999,49,5,2,3,0,0,59,413
2000,50,7,9,7,2,0,75,488
2001,60,12,1,7,0,0,80,568
2002,64,8,4,7,1,0,84,652
2003,67,6,1,6,1,0,81,733
2004,57,14,3,13,2,0,89,822
2005,62,15,8,10,3,0,98,920
2006,75,21,3,9,2,0,110,1030
2007,88,14,7,5,1,0,115,1145
2008,78,15,1,13,2,0,109,1254
2009,75,21,3,30,4,0,133,1387
2010,98,33,3,34,2,0,170,1557
2011,78,32,7,45,5,0,167,1724
2012,73,22,4,49,1,0,149,1873
2013,66,7,4,35,2,0,114,1987
2014,40,5,0,23,1,0,69,2056
