company,city,country,longitude,latitude,yearEST,yearClosed,category,website
2015,Tulsa,United States,-95.992775,36.1539816,1997,0,Developer,www.2015.com
[x]cube GAMES,Dallas,United States,-96.8009781,32.7802618,2008,0,Mobile/Handheld,www.xcubegames.com
11bit studios,Warsaw,Poland,21.0122287,52.2296756,2010,0,Developer,www.11bitstudios.pl
12 Hit Combo,BogotÃ¡,Colombia,-74.075833,4.598056,2012,0,Developer,www.12hitcombo.com
1C Company,Moscow,Russia,37.6173,55.755826,1991,0,Publisher,www.1c.ru
1st Games,Kiev,Ukraine,30.5234,50.4501,2003,0,Developer,www.1st-games.com
1st Playable Productions,Albany,United States,-73.7562317,42.6525793,2005,0,Mobile/Handheld,www.1stplayable.com
21-6 Productions,Littleton,United States,-105.0166498,39.613321,2001,0,Developer,www.21-6.com
22cans,Guildford,England,-0.570409,51.23622,2012,0,Developer,www.22cans.com
2D Boy,San Francisco,United States,-122.4194155,37.7749295,2006,0,Developer,www.2dboy.com
2GEN Studio,Istanbul,Turkey,28.97696,41.00527,2002,0,Developer,www.2genstudio.com
2K Games,Novato,United States,-122.5697032,38.1074198,2005,0,"Developer, Publisher",www.2kgames.com
2XL Games,Phoenix,United States,-112.0740373,33.4483771,2006,0,Developer,www.2xlgames.com
343 Industries (Microsoft Game Studios),Redmond,United States,-122.121512,47.6739881,2009,0,Developer,www.halowaypoint.com
360ed,Orlando,United States,-81.3792365,28.5383355,2006,0,Developer,www.360ed.com
3D Realms,Garland,United States,-96.6388833,32.912624,1987,0,Developer,www.3drealms.com
3DO,Redwood City,United States,-122.2363548,37.4852152,1991,2003,Developer,
3G Studios,Reno,United States,-119.8138027,39.5296329,2002,0,Developer,www.3gstudiosinc.com
3Mind Games,Montreal,Canada,-73.567256,45.5016889,2011,0,Developer,www.3mindgames.com
3rd Dimension Creations,Middlesbrough,England,-1.234956,54.574227,2004,0,Developer,www.3rddc.co.uk
42 Entertainment,Emeryville,United States,-122.2852473,37.831316,1993,0,Developer,www.4orty2wo.com
4A Games,Kiev,Ukraine,30.5234,50.4501,2006,0,Developer,www.4a-games.com
5 Ants,Barcelona,Spain,2.1734035,41.3850639,2004,0,Mobile/Handheld,www.5ants.com
5 Lives Studios,Brisbane,Australia,153.0234489,-27.4710107,2013,0,Developer,www.5livesstudios.com
505 games,Milton Keynes,UK,-0.7594171,52.0406224,2006,0,Publisher,www.505games.com
5pb. Inc.,Tokyo,Japan,139.6917064,35.6894875,2005,0,Developer,www.5pb.jp/
5th Cell,Bellevue,United States,-122.2006786,47.610377,2003,0,Developer,www.5thcell.com
6waves ,Hong Kong,China,114.109497,22.396428,2008,0,Online Developer,www.6waves.com
7 Raven Studios,Phuket,Thailand,98.3380884,7.9519331,2006,0,Developer,www.7ravenstudios.com
7-128 Software,Salem,United States,-70.8967155,42.51954,2006,0,Developer,www.7128.com
8D Games,Leeuwarden,Netherlands,5.7999133,53.2012334,2012,0,Developer,www.8d-games.nl
989 Studios,Foster City,United States,-122.2710788,37.5585465,1995,2005,Developer,
A Bit Lucky ,San Mateo,United States,-122.3255254,37.5629917,2009,0,Online Developer,www.abitlucky.com
A Crowd of Monsters,Barcelona,Spain,2.1734035,41.3850639,2011,0,Mobile/Handheld,www.acrowdofmonsters.com
A Thinking Ape,Vancouver,Canada,-123.1207375,49.2827291,2008,0,Mobile/Handheld,www.athinkingape.com
A.C.R.O.N.Y.M. Games,Vancouver,Canada,-123.1207375,49.2827291,2004,0,Developer,www.acronymonline.com
ablemagic,Trondheim,Norway,10.3950528,63.4305149,2007,0,Mobile/Handheld,www.ablemagic.no
ABRAGAMES,Recife,Brazil,-34.8828969,-8.0578381,2004,0,Organization,www.abragames.org
Absolute Entertainment,Glen Rock,United States,-74.1329207,40.9628758,1986,1995,Publisher,
Absolutist,Dnipropetrovsk,Ukraine,35.046183,48.464717,2000,0,Online Developer,www.absolutist.com
Abylight,Barcelona,Spain,2.1734035,41.3850639,2004,0,Developer,www.abylight.com
Access Games,Osaka,Japan,135.5021651,34.6937378,2002,0,Developer,www.accessgames.co.jp/
Access Software,Salt Lake City,United States,-111.8910474,40.7607793,1982,2006,Developer,
Acclaim Entertainment,Glen Cove,United States,-73.6337389,40.8623217,1987,2004,Publisher,
Accolade,San Jose,United States,-121.8949555,37.3393857,1984,1999,Developer,
ACE Team,Santiago,Chile,-70.641997,-33.4691199,2007,0,Developer,www.aceteam.cl
Aceviral,Sunderland,England,-1.383801,54.906869,2004,0,Developer,www.aceviral.com
Acheron Design,Melbourne ,Australia,144.96328,-37.814107,2004,0,Developer,
Acquire,Tokyo,Japan,139.6917064,35.6894875,1994,0,Developer,www.acquire.co.jp
ActaLogic,Ljubljana,Slovenia,14.5057515,46.0569465,2009,0,Developer,www.actalogic.com
Action Forms,Kiev,Ukraine,30.5234,50.4501,1995,0,Developer,
Activate Interactive,Singapore,Singapore,103.8509491,1.2800945,1997,0,Online Developer,www.activateplay.com
Active Gaming Media,Osaka ,Japan,135.5021651,34.6937378,2006,0,Publisher,www.activegamingmedia.com/en/
Activeworlds,Newburyport,United States,-70.8772751,42.8125913,1995,0,Developer,www.activeworlds.com
Activeworlds Europe,Utrecht,Netherlands,5.1214201,52.0907374,2003,0,Online Developer,www.aw-europe.com
Activision,Santa Monica,United States,-118.4911912,34.0194543,1979,0,"Developer, Mobile/Handheld, Publisher",www.activision.com
Actoz Soft,Seoul,South Korea,126.9779692,37.566535,1996,0,Online Developer,www.actoz.com
Actual Entertainment,Sunnyvale,United States,-122.0363496,37.36883,1996,0,Developer,www.actualentertainment.com
